Undergraduate,COMP9418,Advanced Machine Learning,Prerequisite: COMP9417.,nny
Undergraduate,COMP9444,"Neural Networks, Deep Learning",Prerequisite: COMP9024.,nny
Undergraduate,COMP9517,Computer Vision,Prerequisite: COMP9024.,nyn
Undergraduate,COMP9596,Research Project,Prerequisite: None,yyy
Undergraduate,SENG2011,Program Reasoning Workshop,Prerequisite: COMP2111.,nny
Undergraduate,SENG2021,Reqts & Design Workshop,"Prerequisite:  SENG1031 or COMP1531, and enrolment in a BE or BE(Hons) Software Engineering major.",ynn
Undergraduate,SENG3011,Software Eng Workshop 3,Prerequisite: SENG2021,ynn
Undergraduate,SENG4910,Thesis Part A,Prerequisite: 126 units of credit completed in BE Software Engineering (SENGA1),yyy
Undergraduate,SENG4911,Thesis Part B,Prerequisite: SENG4910.,yyy
Undergraduate,SENG4920,Ethics and Management,Prerequisite: SENG3011,nny
