Undergraduate,COMP6752,Modelling Concurrent Systems,Prerequisite: COMP9024.
Undergraduate,COMP6771,Advanced C++ Programming,Prerequisite: COMP9024.
Undergraduate,COMP6841,Extended Security Engineering,Prerequisite: COMP9024.
Undergraduate,COMP6843,Extended WebApp Security,Prerequisite: COMP6441 or COMP6841 or COMP9441
Undergraduate,COMP6845,Extended Digital Forensics,"Prerequisite: COMP6441 or COMP6841 or COMP9441, and COMP9201 or COMP9283"
Undergraduate,COMP9242,Advanced Operating Systems,Prerequisite: a mark of at least 75 in either COMP9201 or COMP9283.
Undergraduate,COMP9243,Distributed Systems,"Prerequisite: COMP9201 or COMP9283, and COMP9331."
Undergraduate,COMP9313,Big Data Management,Prerequisite: COMP9024 and COMP9311
Undergraduate,COMP9315,Database Systems Implementat'n,Prerequisite: COMP9024 and COMP9311.
Undergraduate,COMP9318,Data Warehousing & Data Mining,Prerequisite: COMP9020 and COMP9024 and COMP9311
Undergraduate,COMP9319,Web Data Compression & Search,Prerequisite: COMP9024.
Undergraduate,COMP9321,Data Services Engineering,Prerequisite: COMP9021 and COMP9311
Undergraduate,COMP9322,Software Service Design & Eng,Prerequisite: COMP9321.
Undergraduate,COMP9323,e-Enterprise Project,Prerequisite: COMP9021 and COMP9311 and > 65 WAM
Undergraduate,COMP9332,Network Routing and Switching,Prerequisite: COMP9331.
Undergraduate,COMP9334,Systems Capacity Planning,Prerequisite: COMP9021
Undergraduate,COMP9417,Machine Learning & Data Mining,Prerequisite: (COMP9020 and COMP9021) or COMP9024
Undergraduate,COMP9418,Advanced Machine Learning,Prerequisite: COMP9417.
Undergraduate,COMP9444,"Neural Networks, Deep Learning",Prerequisite: COMP9024.
Undergraduate,COMP9517,Computer Vision,Prerequisite: COMP9024.
Undergraduate,COMP9596,Research Project,Prerequisite: None
Undergraduate,SENG2011,Program Reasoning Workshop,Prerequisite: COMP2111.
Undergraduate,SENG2021,Reqts & Design Workshop,"Prerequisite:  SENG1031 or COMP1531, and enrolment in a BE or BE(Hons) Software Engineering major."
Undergraduate,SENG3011,Software Eng Workshop 3,Prerequisite: SENG2021
Undergraduate,SENG4910,Thesis Part A,Prerequisite: 126 units of credit completed in BE Software Engineering (SENGA1)
Undergraduate,SENG4911,Thesis Part B,Prerequisite: SENG4910.
Undergraduate,SENG4920,Ethics and Management,Prerequisite: SENG3011
